Date,Open,High,Low,Close,Adj Close,Volume
8/18/2017,3.84,3.91,3.83,3.88,3.222837,725100
8/21/2017,3.89,3.89,3.85,3.85,3.197918,330900
8/22/2017,3.89,3.9,3.86,3.89,3.231143,420200
8/23/2017,3.86,3.89,3.84,3.87,3.214531,491400
8/24/2017,3.9,3.9,3.87,3.9,3.23945,244300
8/25/2017,3.93,3.98,3.92,3.98,3.3059,331500
8/28/2017,3.99,4,3.96,3.99,3.314206,327200
8/29/2017,3.94,4,3.94,3.99,3.314206,626300
8/30/2017,3.97,3.99,3.96,3.97,3.297594,331400
8/31/2017,4.02,4.03,3.99,3.99,3.314206,338800
9/1/2017,4.03,4.04,4.01,4.03,3.347431,269300
9/5/2017,4,4.01,3.96,3.99,3.314206,361000
9/6/2017,4,4.07,3.99,4.05,3.364044,397600
9/7/2017,4.11,4.14,4.1,4.11,3.413882,412000
9/8/2017,4.16,4.19,4.14,4.15,3.447107,810600
9/11/2017,4.17,4.2,4.16,4.17,3.463719,1822900
9/12/2017,4.17,4.18,4.16,4.16,3.455413,1061000
9/13/2017,4.22,4.26,4.2,4.22,3.50525,2053100
9/14/2017,4.23,4.24,4.21,4.24,3.521863,3834500
9/15/2017,4.2,4.21,4.18,4.2,3.488638,524200
9/18/2017,4.2,4.22,4.16,4.17,3.463719,2005000
9/19/2017,4.15,4.16,4.12,4.14,3.438801,676100
9/20/2017,4.15,4.19,4.13,4.14,3.438801,2266000
9/21/2017,4.17,4.18,4.15,4.16,3.455413,632700
9/22/2017,4.19,4.2,4.16,4.18,3.472025,1458600
9/25/2017,4.25,4.26,4.22,4.25,3.530169,2170500
9/26/2017,4.23,4.25,4.2,4.23,3.513557,396600
9/27/2017,4.2,4.21,4.17,4.21,3.496944,374800
9/28/2017,4.18,4.2,4.15,4.2,3.488638,400400
9/29/2017,4.18,4.21,4.17,4.19,3.480332,534700
10/2/2017,4.16,4.18,4.15,4.17,3.463719,338900
10/3/2017,4.16,4.16,4.14,4.15,3.447107,306300
10/4/2017,4.17,4.19,4.15,4.19,3.480332,237200
10/5/2017,4.22,4.27,4.21,4.26,3.538476,369300
10/6/2017,4.22,4.23,4.19,4.2,3.488638,463400
10/9/2017,4.21,4.25,4.2,4.24,3.521863,552500
10/10/2017,4.28,4.28,4.25,4.27,3.546782,345700
10/11/2017,4.31,4.32,4.29,4.31,3.580007,567300
10/12/2017,4.31,4.32,4.3,4.31,3.580007,201500
10/13/2017,4.37,4.39,4.35,4.38,3.638151,274200
10/16/2017,4.4,4.4,4.37,4.4,3.654764,257400
10/17/2017,4.34,4.35,4.29,4.33,3.59662,527700
10/18/2017,4.37,4.38,4.36,4.36,3.621539,202400
